url,name,image_bias,freedom_rank,factual,country,bias
https://www.telegraph.co.uk,Daily Telegraph (UK),MBFCMixed.png,UK 35/180,MIXED,United Kingdom,RIGHT BIAS
http://www.jewishworldreview.com/,Jewish World Review,MBFCMixed.png,USA 45/180,MIXED,USA,RIGHT BIAS
https://www.tasnimnews.com/en,Tasnim News Agency,MBFCMixed.png,,,,QUESTIONABLE SOURCE
http://politicsnote.com,PoliticsNote,MBFCMixed.png,,MIXED,,RIGHT BIAS
https://crimeola.com,Crimeola,MBFCHigh.png,,HIGH,,LEAST BIASED
http://www.faithpanda.com,Faith Panda,MBFCMixed.png,Kenya 96/180,MIXED,Kenya,CONSPIRACY-PSEUDOSCIENCE
https://bustatroll.org/,Bustatroll.org,,,,,SATIRE
https://militarist-monitor.org/,Militarist Monitor,MBFCHigh.png,,HIGH,,LEFT-CENTER BIAS
http://www.thelibertybeacon.com/,The Liberty Beacon,MBFCLow.png,USA 45/180,LOW,USA,CONSPIRACY-PSEUDOSCIENCE
https://yubasuttertimes.com/,Yuba-Sutter Times,MBFCMixed.png,,,,QUESTIONABLE SOURCE
https://www.nih.gov/,National Institutes of Health (NIH),MBFCHigh.png,USA 45/180,HIGH,USA,PRO-SCIENCE
https://patriots4truth.org/,Patriots For Truth,MBFCVeryLow.png,USA 45/180,VERY LOW,USA,CONSPIRACY-PSEUDOSCIENCE
http://politifeed.net,Politifeed,MBFCMixed.png,,MIXED,,RIGHT BIAS
https://www.sciencenews.org/,Science News,,USA 45/180,VERY,USA,PRO-SCIENCE
https://web.randi.org/,James Randi Educational Foundation,MBFCVeryhigh.png,USA 45/180,VERY HIGH,USA,PRO-SCIENCE
https://newrepublic.com/,New Republic,MBFCHigh.png,USA 45/180,HIGH,USA,LEFT BIAS
https://chinapost.nownews.com/,The China Post,MBFCMostlyFactual.png,Taiwan 43/180,MOSTLY FACTUAL,Taiwan,LEFT-CENTER BIAS
http://qctimes.com/,Quad City Times,MBFCHigh.png,,USA 45/180,HIGH,LEAST BIASED
https://www.spectator.co.uk/,The Spectator (UK),MBFCMostlyFactual.png,UK 35/180,MOSTLY FACTUAL,United Kingdom,RIGHT-CENTER BIAS
https://www.autostraddle.com/,AutoStraddle,MBFCHigh.png,,HIGH,,LEFT BIAS
https://www.rt.com/news/,RT News (RT.Com),MBFCVeryLow.png,,,,QUESTIONABLE SOURCE
https://wattsupwiththat.com/,Watts Up with That,MBFCLow.png,USA 45/180,LOW,USA,CONSPIRACY-PSEUDOSCIENCE
http://www.transpartisanreview.com/,Transpartisan Review,MBFCHigh.png,,HIGH,,LEAST BIASED
https://www.healthyway.com,HealthyWay,MBFCHigh.png,,HIGH,,LEFT-CENTER BIAS
https://www.indexmundi.com/,IndexMundi,MBFCHigh.png,USA 48/180,HIGH,USA,LEAST BIASED
https://treason.news/,Treason.News,MBFCVeryLow.png,,USA 45/180,VERY LOW,CONSPIRACY-PSEUDOSCIENCE
https://www.ihealthtube.com,iHealthtube,MBFCLow.png,USA 45/180,LOW,USA,CONSPIRACY-PSEUDOSCIENCE
https://www.nwaonline.com/,Northwest Arkansas Democrat-Gazette,MBFCHigh.png,,HIGH,USA,RIGHT-CENTER BIAS
http://smoloko.com/,Smoloko News,MBFCVeryLow.png,,,,QUESTIONABLE SOURCE
http://www.votevets.org/,VoteVets.org,MBFCHigh.png,,HIGH,,LEFT-CENTER BIAS
http://factbox.tv/,Factbox.TV,MBFCHigh.png,,HIGH,,LEFT-CENTER BIAS
https://www.themoderatedmedia.com,The Moderated Media,MBFCMixed.png,USA 48/180,MIXED,USA,LEAST BIASED
https://rantt.com,Rantt Media,MBFCHigh.png,USA 45/180,HIGH,USA,LEFT BIAS
http://naturalcuresnotmedicine.info/,Natural Cures Not Medicine,MBFCLow.png,,LOW,,CONSPIRACY-PSEUDOSCIENCE
http://www.federaltimes.com/,Federal Times,MBFCHigh.png,,HIGH,,LEAST BIASED
http://www.oilandwaterdontmix.org/,Oil and Water Don’t Mix,MBFCHigh.png,,HIGH,,LEFT-CENTER BIAS
https://www.mariettatimes.com/,The Marietta Times,MBFCHigh.png,USA 45/180,HIGH,USA,LEAST BIASED
http://uspoln.com,USPOLN,,,,,SATIRE
https://dailygazette.com,The Daily Gazette,MBFCHigh.png,,USA 45/180,HIGH,LEAST BIASED
https://www.cfact.org,Committee For A Constructive Tomorrow (CFACT),MBFCLow.png,,LOW,USA,CONSPIRACY-PSEUDOSCIENCE
https://madamericannetwork.com,Mad American Network,MBFCLow.png,,,,QUESTIONABLE SOURCE
https://redoubtnews.com/,Redoubt News,MBFCMixed.png,,MIXED,,CONSPIRACY-PSEUDOSCIENCE
https://ourfutureinamerica.org/,Future in America,MBFCMixed.png,USA 45/180,MIXED,USA,RIGHT BIAS
http://www.thewhim.com/,The Whim,MBFCHigh.png,,HIGH,,LEAST BIASED
https://www.realclearinvestigations.com/,Real Clear Investigations,MBFCMostlyFactual.png,USA 45/180,MOSTLY FACTUAL,USA,RIGHT-CENTER BIAS
https://herald-review.com,Herald & Review (Illinois),MBFCHigh.png,,USA 48/180,HIGH,LEAST BIASED
https://www.texastribune.org/,Texas Tribune,MBFCHigh.png,USA 45/180,HIGH,USA,LEFT-CENTER BIAS
https://rsf.org/en,Reporters Without Borders,MBFCHigh.png,,HIGH,,LEAST BIASED
https://www.coronavirus.gov/,Coronavirus.gov,MBFCHigh.png,USA 48/180,HIGH,USA,LEAST BIASED
https://www.sciencehistory.org/,Science History Institute,MBFCHigh.png,USA 45/180,HIGH,USA,PRO-SCIENCE
https://thehighwire.com/,The Highwire,MBFCLow.png,USA 45/180,LOW,USA,CONSPIRACY-PSEUDOSCIENCE
http://www.dcclothesline.com/,The D.C. Clothesline,MBFCLow.png,,,,QUESTIONABLE SOURCE
https://www.nrdc.org/,Natural Resources Defense Council (NRDC),MBFCMostlyFactual.png,USA 45/180,MOSTLY FACTUAL,USA,LEFT BIAS
https://nwriversidenews.com/,NW Riverside News,MBFCMixed.png,,,,QUESTIONABLE SOURCE
https://www.conservapedia.com,Conservapedia,MBFCMixed.png,,,,QUESTIONABLE SOURCE
https://www.thejakartapost.com/,The Jakarta Post,MBFCMostlyFactual.png,,,,LEFT-CENTER BIAS
,Unbiased America,MBFCMixed.png,USA 45/180,MIXED,USA,RIGHT BIAS
,Pseudoscience Dictionary: Applied Kinesiology,,,,,Applied Kinesiology
https://www.liberationnews.org/,Liberation News,MBFCHigh.png,,HIGH,,LEFT BIAS
https://thevarsity.ca/,The Varsity,MBFCHigh.png,,HIGH,,LEFT-CENTER BIAS
http://canadafreepress.com/,Canada Free Press,MBFCLow.png,,,,QUESTIONABLE SOURCE
https://www.suffolkgazette.com/,Suffolk Gazette,,,,,SATIRE
https://fibrohealthnews.com/,Washington News Press,MBFCVeryLow.png,,,,QUESTIONABLE SOURCE
http://www.populationconnection.org,Population Connection,MBFCHigh.png,,HIGH,,LEFT-CENTER BIAS
https://democratherald.com/,Albany Democrat Herald,MBFCHigh.png,,USA 48/180,HIGH,LEAST BIASED
https://www.taxjustice.net/,Tax Justice Network,MBFCHigh.png,United Kingdom 40/180,HIGH,,LEFT-CENTER BIAS
https://www.theringer.com,The Ringer,MBFCHigh.png,,USA 45/180,HIGH,LEFT-CENTER BIAS
https://www.sentencingproject.org/,Sentencing Project,MBFCHigh.png,,HIGH,,LEFT-CENTER BIAS
http://earthsky.org/,Earth & Sky,MBFCHigh.png,,HIGH,,PRO-SCIENCE
https://ghost.report/,Ghost.Report,MBFCMixed.png,,,,QUESTIONABLE SOURCE
https://bipartisanreport.com,Bipartisan Report,MBFCMixed.png,,,,QUESTIONABLE SOURCE
http://iwf.org/,Independent Women’s Forum (IWF),MBFCMostlyFactual.png,USA 48/180,MOSTLY FACTUAL,USA,RIGHT BIAS
http://stocksnewsdaily.com/,Stocks News Daily,MBFCMixed.png,,MIXED,USA 48/180,LEFT-CENTER BIAS
http://www.chroniclesofdemocracy.com/,Chronicles of Democracy,MBFCHigh.png,,HIGH,,LEFT BIAS
http://freedomsfinalstand.com/,Freedom’s Final Stand,MBFCLow.png,,,,QUESTIONABLE SOURCE
https://www.frontiersin.org/,Frontiers Media,MBFCMixed.png,Switzerland 8/180,MIXED,Switzerland,PRO-SCIENCE
https://www.globalhealingcenter.com,Global Healing Center,MBFCMixed.png,USA 45/180,MIXED,USA,CONSPIRACY-PSEUDOSCIENCE
https://blackamericaweb.com/,Black America Web,MBFCMostlyFactual.png,,,,LEFT BIAS
https://www.livescience.com/,Live Science,MBFCHigh.png,,,,PRO-SCIENCE
http://yourblackworld.net,Your Black World,MBFCMixed.png,USA,MIXED,,LEFT BIAS
https://www.dailystar.co.uk,Daily Star UK,MBFCMixed.png,,,,QUESTIONABLE SOURCE
,CBS Los Angeles (KCBS),MBFCHigh.png,USA 45/180,HIGH,USA,LEFT-CENTER BIAS
,Media Bias Fact Check as a Source: Universities and Libraries,,,,,
https://www.rescue.org/,International Rescue Committee (IRC),MBFCHigh.png,,HIGH,,LEAST BIASED
